enkk,enak
enk,enak
guee,saya
holygraill,favorit
holyfraill,favorit
sngt,sangat
sangt,sangat
skaliii,sekali
skalii,sekali
sekaliii,sekali
sekalii,sekali
sensitf,sensitif
senstf,sensitif
abis,habis
abisnya,habisnya
abisss,habis
ad,ada
aja,saja
ak,saya
aku,saya
akuu,saya
akuuu,saya
alesan,alasan
alesannya,alasannya
ama,sama
amazinggg,amazing
antiaging,anti aging
aplikasiinnya,memakai
aq,saya
aseeeeeem,asam
aweet,awet
awwweeeeetttt,awet
baguss,bagus
bagusss,bagus
bagusssss,bagus
bagussssss,bagus
baguuss,bagus
baguuusss,bagus
bakal,akan
bangeeeet,banget
bangeeeettt,banget
bangett,banget
bangettttt,banget
bangetttttt,banget
banyaaakkk,banyak
banyakk,banyak
baunya,aromanya
bbrp,beberapa
bc,karena
bener2,benar-benar
berminya,berminyak
berminyakkk,berminyak
berumtung,beruntung
bgd,banget
bgs,bagus
bgt,banget
bgtbgt,banget
bgtt,banget
bgttt,banget
bikin,membuat
binggo,banget
binggoo,banget
binggooo,banget
binggooooooo,banget
binggow,banget
bingit,banget
bingits,banget
bingitssss,banget
bingitt,banget
bl,beli
blajar,belajar
blg,bilang
bln,bulan
buanyaaakkk,banyak
buanyak,banyak
buildup,build up
buutttttt,but
byk,banyak
cb,coba
cpet,cepat
cpat,cepat
cpt,cepat
cepet,cepat
cerahh,cerah
cintaaaa,cinta
coz,karena
cpt,cepat
cukuo,cukup
dann,dan
dannn,dan
dapet,dapat
dehydrasi,dehidrasi
dg,dengan
dikamarku,di kamarku
dikiiiiit,dikit
dipake,dipakai
dl,dulu
dlm,dalam
dlu,dulu
dpt,dapat
dr,dari
drpd,dari pada
emang,memang
emg,memang
enaaaak,enak
enaaak,enak
enaaakkk,enak
enaak,enak
enakk,enak
endul,enak
endulita,enak
engga,tidak
enteng,ringan
enyaakk,enak
enyak,enak
essens,essence
favorits,favorit
g,tidak
ga,tidak
gaa,tidak
gaak,tidak
